<<<<<<< HEAD
﻿Полное наименование показателя;Краткое наименование показателя;Категория;Основание установления целевого показателя;Тематика;Статистические/динамические;Отдел;Управление
 Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), которые формируют реестр счетов об оказанной медицинской помощи на основании сведений электронных медицинских карт граждан, застрахованных в системе ОМС, %  ТВСП МО;ТВСПМО, работающих в РИСЗ ТО и соотвествющих требованиям МЗ РФ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), которые формируют реестр счетов об оказанной медицинской помощи на основании сведений электронных медицинских карт граждан, застрахованных в системе ОМС, %  ФАП и ФП;ФАП, работающих в РИСЗ ТО и соотвествующих требованиям МЗ РФ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, обеспечивающих информационное взаимодействие с информационными системами Фонда социального страхования в электронном виде, %  ТВСП МО;"ТВСПМО, работающих в подсистеме ""ССЗ""";Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, обеспечивающих информационное взаимодействие с информационными системами Фонда социального страхования в электронном виде, %  ФАП и ФП;"ТВСПМО, работающих в подсистеме ""ЛЛО""";Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных и муниципальных медицинских организаций субъекта Российской Федерации, обеспечивающих информационное взаимодействие с информационными системами учреждений медико-социальной экспертизы для обмена документами в электронном виде, при направлении гражданина на медико-социальную экспертизу, %;"ФАП, работающих в подсистеме ""ЛЛО""";Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля государственных учреждений здравоохранения Тульской области, обеспечивающих доступ гражданам к электронным медицинским документам в Личном кабинете пациента «Мое здоровье» на Едином портале государственных услуг и функций, %;Аптеки, подключенные к ЛЛО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП подключенных к сети Интернет), оказывающих медицинскую помощь, которые передают сведения о созданных электронных медицинских документах в подсистему «Реестр электронных медицинских документов» ЕГИСЗ, % ТВСП МО;ТВСПМО, работающих в РИСЗ ТО и соотвествующих требованиям МЗ РФ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП подключенных к сети Интернет), оказывающих медицинскую помощь, которые передают сведения о созданных электронных медицинских документах в подсистему «Реестр электронных медицинских документов» ЕГИСЗ, % ФАП и ФП;ФАП, работающих в РИСЗ ТО и соотвествующих требованиям МЗ РФ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля медицинского персонала, прошедшего обучение работы в РИСЗ ТО;Доля медицинского персонала, прошедшего обучение работы в РИСЗ ТО;Государственное задание;Государственное задание;Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (Сервера - терминальные и БД);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (Инфоматы);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (Информационные панели);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (ЦДМО - цифровое диагностическое медицинское оборудование);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (PACS сервера);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Выполнение работ по техническому обслуживанию государственных учреждений здравоохранения (Терминальные станции);Техническое обслуживание ГУЗ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Показатель уровня сервиса оказываемых услуг в зоне ответственности отдела ТП УИС (SLA);Уровень сервиса оказываемых услуг;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел технической поддержки;Управление информационных систем
Показатель доступности информационных систем (подсистем региональных информационных систем Тульской области), в т.ч. размещенных в телекоммуникационной сети Интернет, в зоне ответственности отдела ТП УИС;Доступность информацимонных систем;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел технической поддержки;Управление информационных систем
Количество поддерживаемых прикладных информационных систем (подсистем региональных информационных систем);Количество поддерживаемых прикладных ИС;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел технической поддержки;Управление информационных систем
Количество поддерживаемых информационных ресурсов, размещенных в телекоммуникационной сети Интернет;Количество поддерживаемых информационных ресурсов;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел технической поддержки;Управление информационных систем
Количество поддерживаемых серверов, поддерживаемых ИС, в т.ч. размещенных в телекоммуникационной сети Интернет;Количество поддерживаемых серверов;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел технической поддержки;Управление информационных систем
Количество пользователей региональной информационно-аналитической системы Тульской области;Количество пользователей РИАС;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел технической поддержки;Управление информационных систем
Площадь аэрофотосъемки территории населенных пунктов Тульской области выполненой с помощью БПЛА, кв. км.;Площадь аэрофотосъемки;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Динамические;Отдел развития ГИС;Управление информационных систем
Количество беспилотных летательных аппаратов;Количество БПЛА;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Статистические ;Отдел развития ГИС;Управление информационных систем
Доля площади пилотных муниципальных образований, внесенной в электронный сервис, обеспечивающий регулярный анализ и сопоставление фактических данных об объектах недвижимости с данными кадастровой карты муниципальных образований, с целью  выявления несоответствий и принятия мер;Доля площади пилотных муниципальных образований, внесенной в электронный сервис;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Динамические;Отдел развития ГИС;Управление информационных систем
Наличие ИСОГД регионального уровня в электронном виде;Наличие ИСОГД регионального уровня в электронном виде;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Статистические ;Отдел развития ГИС;Управление информационных систем
Количество разработанных геосервисов;Количество разработанных геосервисов;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Динамические;Отдел развития ГИС;Управление информационных систем
Количество загруженных слоев в региональную геоинформационную систему Тульской области;Количество загруженных слоев в ГИС;Региональные проекты;"Паспорт проекта ""Умный город""";Имущественные отношения;Динамические;Отдел развития ГИС;Управление информационных систем
"Количество посещений портала проектов ""Открытый регион 71"" пользователями в течение года";"Количество посещений портала проектов ""Открытый регион 71"" ";Региональные проекты;"Паспорт проекта ""Умный город""";Маркетинг;Динамические;"группа развития проекта ""Умный город""";Управление информационных систем
Наличие сервиса, позволяющего гражданам Тульской области подавать заявку на реализацию их проектов с софинансированием из регионального бюджета;Наличие сервиса, позволяющего гражданам Тульской области подавать заявку на реализацию их проектов ;Региональные проекты;"Паспорт проекта ""Умный город""";Социальное развитие;Статистические ;"группа развития проекта ""Умный город""";Управление информационных систем
Информационная открытость органов исполнительной власти Тульской области,%;Открытость ОИВ;Государственное задание;Государственное задание;Все;Динамические;"группа развития проекта ""Умный город""";Управление информационных систем
Количество решенных обращений в сервисе Реши проблему за календарный год;Количество решенных обращений в Реши проблему;Региональные проекты;"Паспорт проекта ""Умный город""";Социальное развитие;Динамические;"группа развития проекта ""Умный город""";Управление информационных систем
МЭДО в электронном виде в процентах ко всему документообороту с участниками системы МЭДО;Отношение МЭДО ко всему документообороту;Государственное задание;Государственное задание;Инфраструктура;Динамические;АСЭД Дело;Управление информационных систем
"Количество пользователей региональной системы электронного документооборота, функционирующей на программной платформе ""Дело""";Количество пользователей АСЭД Дело;Государственное задание;Государственное задание;Инфраструктура;Статистические ;АСЭД Дело;Управление информационных систем
Соблюдение уровня SLA  в зоне ответственности отдела ТП 1С УИС;Показатель доступности ИС;Государственное задание;Государственное задание;Инфраструктура;Статистические ;1С;Управление информационных систем
Прирост трафика на портал Gosuslugi 71;Количество уникальных пользователей;Государственное задание;Государственное задание;Маркетинг;Динамические;Маркетинг;Управление информационных систем
Прирост трафика на портал Doctor 71;Количество уникальных пользователей;Государственное задание;Государственное задание;Маркетинг;Динамические;Маркетинг;Управление информационных систем
Прирост трафика на портал Открытый регион 71;Количество уникальных пользователей;Государственное задание;Государственное задание;Маркетинг;Динамические;Маркетинг;Управление информационных систем
Количество реализуемых проектов;Количество реализуемых проектов;Государственное задание;Государственное задание;Все;Статистические ;Проектный офис, разработка, 1С;Управление информационных систем
Стоимостная доля закупаемого и (или) арендуемого органами исполнительной власти Тульской области, органами местного самоуправления отечественного программного обеспечения, (%);Доля закупаемого отечественного ПО;Федеральные проекты;"Паспорт проекта ""Цифровая экономика""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Количество лицензий для рабочих мест, предоставляемых го госзаданию;Кол-во лицензий для РМ по ГЗ;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Количество лицензий для рабочих мест ОИВ (включаая мировых судей);Кол-во лицензий для РМ ОИВ (включая МС);Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Количество лицензий для рабочих мест ОИВ (без мировых судей);Кол-во лицензий для РМ ОИВ (без МС);Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Закуплено лицензий АСТРЫ для рабочих мест ВСЕГО;Закуплено всего лицензий АСТРЫ;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Закуплено лицензий АСТРЫ для рабочих мест для ОИВ и подведомственных учреждений;Закуплено АСТРЫ для ОИВ и подведов;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Закуплено лицензий АСТРЫ для рабочих мест для подведомственных учреждений министерство труда и социальной защиты;Закуплено АСТРЫ для подведов минтруда;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Необходимый минимум отечественных лицензий для ОИВ;Необходимый минимум отечественных лицензий для ОИВ;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Необходимый минимум отечественных лицензий по государственному заданию (ОИВ+ЦИТ);Необходимый минимум отечественных лицензий по ГЗ (ОИВ+ЦИТ);Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Необходимы минимум отечественных лицензий Офиса для ОИВ;Необходимы минимум отечественных лицензий Офиса для ОИВ;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Необходимы минимум отечественных лицензий Офиса по государственному заданию (ОИВ+ЦИТ);Необходимы минимум отечественных лицензий Офиса по ГЗ (ОИВ+ЦИТ);Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Количество лицензий MS Server в наличии;Количество лицензий MS Server в наличии;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
Количество фактически используемых лицензий MS Server;Количество фактически используемых лицензий MS Server;Государственная программа;"Государственная программа ""Информационное общество""";Импортозамещение;Статистические ;Группа проектного управления;Управление информационных систем
"Количество граждан, обучавшихся в учебном центре ГАУ ТО ""ЦИТ""";"Количество граждан, обучавшихся в учебном центре ГАУ ТО ""ЦИТ""";Государственное задание;Государственное задание;Образование;Динамические;"Группа ""Учебный центр""";Управление по обеспечению деятельности и развитию
Количество научно-исследовательских работ;Количество НИР;Государственное задание;Государственное задание;Все;Динамические;Финансово-экономический отдел;Управление по обеспечению деятельности и развитию
Заполняемость штатного расписания;Заполняемость ШР;Государственное задание;Государственное задание;Все;Статистические ;Отдел кадрового и документационного обеспечения;Управление по обеспечению деятельности и развитию
Доступность ЦОД;Доступность ЦОД;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Доступность компонентов инфраструктуры электронного правительства;Доступность компонентов инфраструктуры электронного правительства;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Количество виртуальных машин;Количество виртуальных машин;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Количество пользователей в домене doctor71.ru;Количество пользователей в домене doctor71.ru;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Количество пользователей в домене tularegion.local;Количество пользователей в домене tularegion.local;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Количество пользователей в домене tularegion.org;Количество пользователей в домене tularegion.org;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Количество физических серверов;Количество физических серверов;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Суммарный объём репозиториев системы резервного копирования;Суммарный объём репозиториев системы резервного копирования;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Суммарный объём систем хранения данных;Суммарный объём систем хранения данных;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел инфраструктурных сервисов;Управление сервиса и эксплуатации
Предоставление сервиса IP-телефонии (количество абонентов);Количество IP-телефонов;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
"Количество точек подключения широкополосного доступа к сети ""Интернет"" в государственных учреждениях Тульской области";Количество точек подключения по ШПД, которые оплачиваются по государственной программе;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
IP-TV для ПТО, кол-во приставок;IP-TV для ПТО, кол-во приставок;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Канал L2 «точка-точка»;Канал L2 «точка-точка»;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Канал L3 «точка-точка»;Канал L3 «точка-точка»;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Количество узлов сети, находящихся на мониторинге;Количество узлов сети, находящихся на мониторинге;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Основные каналы VPN ПТО;Основные каналы VPN ПТО;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Основные каналы Е1 для телефонии ПТО;Основные каналы Е1 для телефонии ПТО;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Резервные каналы VPN ПТО;Резервные каналы VPN ПТО;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Группа мониторинга и информационных ресурсов;Управление сервиса и эксплуатации
Количество смонтированных портов ЛВС в органах исполнительной власти Тульской области, государственных учреждениях и органах ЗАГС Тульской области;Количество смонтированных портов ЛВС;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел телекоммуникационных сервисов;Управление сервиса и эксплуатации
Количество серверов ГУЗ на обслуживании;Количество серверов ГУЗ на обслуживании;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел телекоммуникационных сервисов;Управление сервиса и эксплуатации
Количество камер видеонаблюдения на обслуживании, шт.;Количество камер видеонаблюдения на обслуживании, шт. ;Государственное задание;Государственное задание;Инфраструктура;Динамические;Отдел телекоммуникационных сервисов;Управление сервиса и эксплуатации
"Соблюдение SLA по заявкам в службу технической поддержки ГАУ ТО ""ЦИТ"", в том числе обеспечение взаимодействия оборудования государственных учреждений здравоохранения Тульской области (терминальных станций, принтеров, сканеров штрих-кодов и скоростных принтеров) с РИСЗ ТО";Соблюдение SLA технической поддержкой ГАУ ТО «ЦИТ»;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел поддержки пользователей;Управление сервиса и эксплуатации
Среднее количество инцидентов, связанных с отказом программного и аппаратного обеспечения, в расчете на одно автоматизированное рабочее место в месяц;Среднее количество инцидентов на одно рабочее место в месяц;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел поддержки пользователей;Управление сервиса и эксплуатации
>>>>>>> e0a0eba79 (init)
Удовлетворенность сотрудников органов исполнительной власти Тульской области и государственных учреждений Тульской области работой службы технической поддержки;Удовлетворенность пользователей работой технической поддержки;Государственное задание;Государственное задание;Инфраструктура;Статистические ;Отдел поддержки пользователей;Управление сервиса и эксплуатации
